Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-12-13,144500.0,145000.0,142500.0,145000.0,103905.21875,283933,2026-02-21 06:47:26.527494+00:00
2016-12-14,144500.0,145000.0,142000.0,143500.0,102830.328125,261384,2026-02-21 06:47:26.527494+00:00
2016-12-15,142000.0,143000.0,141000.0,142000.0,101755.4453125,285737,2026-02-21 06:47:26.527494+00:00
2016-12-16,141000.0,142000.0,139000.0,139500.0,99963.984375,523767,2026-02-21 06:47:26.527494+00:00
2016-12-19,140000.0,142500.0,139500.0,142000.0,101755.4453125,293868,2026-02-21 06:47:26.527494+00:00
2016-12-20,141500.0,144000.0,141500.0,143500.0,102830.328125,399511,2026-02-21 06:47:26.527494+00:00
2016-12-21,144500.0,144500.0,142500.0,143500.0,102830.328125,310188,2026-02-21 06:47:26.527494+00:00
2016-12-22,143000.0,143000.0,141000.0,142000.0,101755.4453125,334338,2026-02-21 06:47:26.527494+00:00
2016-12-23,143000.0,144000.0,142000.0,144000.0,103188.6171875,357914,2026-02-21 06:47:26.527494+00:00
2016-12-26,143500.0,145000.0,143500.0,144500.0,103546.875,206099,2026-02-21 06:47:26.527494+00:00
2016-12-27,144500.0,145000.0,144000.0,144500.0,103546.875,337224,2026-02-21 06:47:26.527494+00:00
2016-12-28,142500.0,144000.0,141500.0,143500.0,105010.46875,377265,2026-02-21 06:47:26.527494+00:00
